wr_id,date_requested,prob_type,date_completed,bl_id
61481,00:00.0,LOCK                            ,00:00.0,B00052  
61482,00:00.0,OTHER                           ,00:00.0,B00052  
62570,00:00.0,SECURITY SYSTEMS-CAMERA         ,00:00.0,B09864  
62620,00:00.0,OVERHDDOOR                      ,00:00.0,B00020  
62648,00:00.0,ROOF                            ,00:00.0,B00056  
62667,00:00.0,FLOOR                           ,00:00.0,B00021  
62669,00:00.0,FLOOR                           ,00:00.0,B00021  
62709,00:00.0,OVERHDDOOR                      ,00:00.0,B04024  
62711,00:00.0,OVERHDDOOR                      ,00:00.0,B04018  
62712,00:00.0,OVERHDDOOR                      ,00:00.0,B04043  
62723,00:00.0,FIRE SUPPRESSION-PROTECTION     ,00:00.0,
62737,00:00.0,SECURITY SYSTEMS-CAMERA         ,00:00.0,B00091  
62739,00:00.0,SECURITY SYSTEMS-CAMERA         ,00:00.0,B00005  
62740,00:00.0,ELEC/SECURITY                   ,00:00.0,B00057  
62757,00:00.0,FIRE SUPPRESSION-PROTECTION     ,00:00.0,B00020  
62781,00:00.0,OVERHDDOOR                      ,00:00.0,B06176  
62795,00:00.0,WINDOW                          ,00:00.0,B06059  
62859,00:00.0,OTHER                           ,00:00.0,B00052  
62876,00:00.0,ELEC/SECURITY                   ,00:00.0,
62883,00:00.0,OTHER                           ,00:00.0,B00052  
62885,00:00.0,FENCE_GATE                      ,,B00182  
62903,00:00.0,DOOR                            ,00:00.0,B06109  
62926,00:00.0,OTHER                           ,00:00.0,B00035  
62928,00:00.0,SERV/CUSTODIAL                  ,,B98664  
62930,00:00.0,OVERHDDOOR                      ,00:00.0,B04024  
62944,00:00.0,OVERHDDOOR                      ,00:00.0,B08646  
62948,00:00.0,FENCE_GATE                      ,00:00.0,B00103  
63051,00:00.0,DOOR                            ,00:00.0,B00030  
63060,00:00.0,OTHER                           ,00:00.0,B00051  
63061,00:00.0,WINDOW                          ,00:00.0,P06238  
63063,00:00.0,FLOOR                           ,00:00.0,P06238  
63065,00:00.0,OVERHDDOOR                      ,00:00.0,B04035  
63068,00:00.0,FLOOR                           ,00:00.0,B00029  
63081,00:00.0,_COMPLAINT                      ,,B00005  
63088,00:00.0,DOOR                            ,00:00.0,B00058  
63092,00:00.0,FIRE SUPPRESSION-PROTECTION     ,00:00.0,B00035  
63094,00:00.0,WINDOW                          ,00:00.0,B00062  
63096,00:00.0,ELEVATOR                        ,00:00.0,B06073  
63101,00:00.0,WINDOW                          ,00:00.0,B00058  
63169,00:00.0,ELEVATOR                        ,00:00.0,B06073  
63171,00:00.0,ELEVATOR                        ,00:00.0,B06067  
63173,00:00.0,ELEVATOR                        ,00:00.0,B06078  
63174,00:00.0,ELEVATOR                        ,00:00.0,B07021  
63323,00:00.0,OVERHDDOOR                      ,00:00.0,B04003  
63324,00:00.0,OVERHDDOOR                      ,00:00.0,B04007  
63325,00:00.0,OVERHDDOOR                      ,00:00.0,B04005  
63378,00:00.0,FIRE SUPPRESSION-PROTECTION     ,00:00.0,B06065  
63380,00:00.0,FIRE SUPPRESSION-PROTECTION     ,00:00.0,B06073  
63383,00:00.0,OTHER                           ,00:00.0,C00088  
63408,00:00.0,OTHER                           ,00:00.0,B00120  
63445,00:00.0,SECURITY SYSTEMS-CAMERA         ,00:00.0,B00057  
63446,00:00.0,SECURITY SYSTEMS-CAMERA         ,00:00.0,B00057  
63453,00:00.0,SERV/CUSTODIAL                  ,,B00101  
63536,00:00.0,ELEC/OTHER                      ,00:00.0,B00057  
63574,00:00.0,ELEC/SECURITY                   ,00:00.0,B00124  
63602,00:00.0,WINDOW                          ,00:00.0,B00052  
63809,00:00.0,WINDOW                          ,00:00.0,B00027  
63810,00:00.0,WINDOW                          ,00:00.0,B00030  
63811,00:00.0,WINDOW                          ,00:00.0,B00029  
63873,00:00.0,SECURITY SYSTEMS-CAMERA         ,00:00.0,B00031  
63878,00:00.0,ELEC/OTHER                      ,,B06002  
63882,00:00.0,ELEC/SECURITY                   ,00:00.0,B00181  
63896,00:00.0,ELEC/EMERLGHT                   ,00:00.0,B00038  
63898,00:00.0,ELEC/LIGHT                      ,00:00.0,B00038  
63900,00:00.0,FIRE SUPPRESSION-PROTECTION     ,00:00.0,B00038  
63902,00:00.0,FIRE SUPPRESSION-PROTECTION     ,00:00.0,B00038  
63903,00:00.0,FIRE SUPPRESSION-PROTECTION     ,00:00.0,B00038  
63904,00:00.0,ELEC/LIGHT                      ,00:00.0,B00038  
63905,00:00.0,CARPENTRY                       ,00:00.0,B00038  
63906,00:00.0,ELEC/LIGHT                      ,00:00.0,B00038  
63908,00:00.0,SERV/CUSTODIAL                  ,00:00.0,B00038  
63909,00:00.0,ELEC/LIGHT                      ,00:00.0,B00038  
63910,00:00.0,ELEC/LIGHT                      ,00:00.0,B00038  
63911,00:00.0,FIRE SUPPRESSION-PROTECTION     ,00:00.0,B00038  
63912,00:00.0,ELEC/LIGHT                      ,00:00.0,B00038  
63913,00:00.0,ELEC/LIGHT                      ,00:00.0,B00038  
63915,00:00.0,ELEC/LIGHT                      ,00:00.0,B00038  
63918,00:00.0,SERV/CUSTODIAL                  ,00:00.0,B00038  
63919,00:00.0,BUILDING INTERIOR INSPECTION    ,00:00.0,B00038  
63921,00:00.0,ELEC/LIGHT                      ,00:00.0,B00038  
63922,00:00.0,SERV/CUSTODIAL                  ,00:00.0,B00038  
63923,00:00.0,LOCK                            ,00:00.0,B00038  
63925,00:00.0,ELEC/LIGHT                      ,00:00.0,B00038  
63926,00:00.0,FIRE SUPPRESSION-PROTECTION     ,00:00.0,B00038  
63928,00:00.0,FIRE SUPPRESSION-PROTECTION     ,00:00.0,B00038  
63929,00:00.0,FIRE SUPPRESSION-PROTECTION     ,00:00.0,B00038  
63930,00:00.0,DOOR                            ,00:00.0,B00038  
63937,00:00.0,ELEVATOR                        ,00:00.0,B00038  
63938,00:00.0,FIRE SUPPRESSION-PROTECTION     ,00:00.0,B00038  
63940,00:00.0,ELEC/LIGHT                      ,00:00.0,B00038  
63941,00:00.0,ELEC/LIGHT                      ,00:00.0,B00038  
63943,43:52.9,,,
63944,43:57.1,PLUMB/UNCLOG                    ,00:00.0,B09864  
63945,00:00.0,ELEC/LIGHT                      ,00:00.0,B00038  
